adaptation_id,title,change_summary,categories,ledger_status,interpretation_status,rq1_claim_level,rq2_role,ledger_line_start,ledger_line_end
A-CMOS-Y2K,CMOS Y2K rollover,"In `time_init()`, treat CMOS `tm_year < 70` as `20yy` by adding 100 before calling `kernel_mktime()`.",Time,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,21,30
A-SYSCALL-GCC,Syscall wrappers for modern GCC,"Replace the `_syscall0()` macro definitions for `fork`, `pause`, `setup` and `sync` with explicit `int $0x80` inline wrappers. Modern GCC rejects the `static` redeclaration after the non-static prototypes in `unistd.h`.",Compiler,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,31,41
A-VGA-80X50,VGA 80×50 text mode,"Switch to the BIOS 8×8 font at boot so `con_init()` initializes 50 rows instead of 25. Export `lines` and `attr` for assembly helpers. Add `copy_screen`, `copy_screen_down` and `clear_screen` helpers with proper clobbers and memory barriers.",Hardware;Experience,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,42,54
A-UART-115200,Serial UART 115200 baud,Change UART divisor from `0x30` (2400 bps) to `0x01` (115200 bps) and add `serial_console_write()` for polled COM1 output.,Hardware;Usability,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,55,65
A-CONSOLE-DEDUPE,Console output duplication removal,Remove the duplicate printk path that sent every byte through both `serial_puts` and `tty_write` → `con_write` → `serial_console_write`.,Hardware;Usability,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,66,76
A-CP437-FILTER,CP437 / extended VGA glyph filter,"Relax `con_write()` filter from bytes 32–126 to allow extended glyphs such as `∞` (0xEC), box-drawing characters and math symbols.",Experience,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,77,87
A-BUFFER-FREELIST,Buffer-cache free-list walk,Rewrite the free-list loop in `getblk()` to avoid the `while (tmp != free_list || (tmp=NULL))` idiom. Add null guard in `remove_from_hash_queue()`.,Compiler;HistoricalHypothesis,QUALIFIED,historical_summary_without_paired_raw_output,historical_hypothesis_not_reproduced,not_in_predeclared_universe,88,103
A-BITMAP-O1,Bitmap `-O1` workaround,Compile `fs/bitmap.o` at `-O1` instead of `-O2`.,UndefinedBehavior (inline-asm contract),CORRECTED,historical_summary_without_paired_raw_output,source_contract_reproduced_without_retained_run,not_in_predeclared_universe,104,117
A-VSPRINTF-O1,`vsprintf` `%s` handling,Compile `kernel/vsprintf.o` at `-O1` instead of `-O2`.,Compiler;HistoricalHypothesis,QUALIFIED,historical_summary_without_paired_raw_output,historical_hypothesis_not_reproduced,not_in_predeclared_universe,118,130
A-ATA-PIO,ATA PIO read helper and port macros,"Add `read_abs_hd()` for polled two-sector reads, add memory clobbers to `port_read`/`port_write`, and add parentheses to the request sorting macro.",Hardware;Compiler,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,131,142
A-COLORED-PRINTK,Colored diagnostic printk,Add ANSI color to partition-table and `sys_setup` messages.,Experience,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,143,151
A-PIPE-HEAD,`PIPE_HEAD` increment macro,Replace inline-assembly `INC_PIPE` macro with a pure C expression.,Compiler,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,152,161
A-MINIX-ROOTFS,Filesystem patches for Minix v1 root image,"Adjustments in `fs/super.c`, `fs/open.c`, `fs/exec.c`, `fs/stat.c`, `fs/namei.c`, `fs/char_dev.c`, `fs/pipe.c`, `fs/read_write.c`, `fs/tty_ioctl.c`, `fs/block_dev.c` to support the generated Minix v1 root image and device nodes.",Hardware;Usability,QUALIFIED,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,162,175
A-IOCTL-VOLATILE,`sys_ioctl` volatile return,Declare `ret` as `volatile int` in `sys_ioctl()`.,Compiler,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,176,184
A-MM-COMPAT,Memory-management compatibility,Adjustments in `mm/memory.c` and `mm/page.s` for modern GCC inline-assembly constraints and page-table handling.,Compiler;Hardware,QUALIFIED,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,185,194
A-KERNEL-ASM,Kernel assembly clobbers and constraints,"Update inline assembly in `kernel/asm.s`, `kernel/system_call.s`, `kernel/keyboard.s`, `kernel/rs_io.s` for modern as/GCC constraints.",Compiler,QUALIFIED,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,195,204
A-INCLUDE-COMPAT,Include header adjustments,"Minor updates to `include/linux/*.h`, `include/asm/*.h`, `include/string.h`, `include/ctype.h`, `include/sys/wait.h` for modern toolchain compatibility and BBP integration.",Compiler;Experience,QUALIFIED,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,205,215
A-LIB-OPEN,`lib/open.c` adjustment,Update `lib/open.c` for modern calling convention and BBP compatibility.,Compiler,QUALIFIED,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,216,225
A-EXPERIENCE-ENV,Validated experience environment bridge,Read the validated BBP experience selector in `init` and pass the matching `HOME` plus `EXPERIENCE` values to the shell.,Experience,PROVEN,historical_summary_without_paired_raw_output,adapted_conformance_only,not_in_predeclared_universe,226,238
