evidence_id,adaptation_id,ledger_test,reference,reference_kind,oracle_class,retention,observation_id,raw_output_sha256
E-CMOS-Y2K-01,A-CMOS-Y2K,`tests/test_shell.py` checks `date` output contains the current year.,tests/test_shell.py,test_source,self_report,versioned_oracle_definition,,
E-SYSCALL-GCC-01,A-SYSCALL-GCC,`make all` succeeds; kernel boots and forks init.,make all,make_target,production_integration,generated_unretained,,
E-VGA-80X50-01,A-VGA-80X50,Visual/screenshot tests; boot messages fit without scrolling prematurely.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-UART-115200-01,A-UART-115200,`tests/test_shell.py` runs 50+ commands without serial backpressure.,tests/test_shell.py,test_source,self_report,versioned_oracle_definition,,
E-CONSOLE-DEDUPE-01,A-CONSOLE-DEDUPE,Shell smoke tests remain responsive; no double characters on console.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-CP437-FILTER-01,A-CP437-FILTER,MOTD renders `∞` and box-drawing characters correctly.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-BUFFER-FREELIST-01,A-BUFFER-FREELIST,`tests/test_shell.py` creates files repeatedly without panic; `tests/compiler-cases/buffer_freelist.c` documents the isolated pattern.,tests/test_shell.py,test_source,self_report,versioned_oracle_definition,,
E-BUFFER-FREELIST-02,A-BUFFER-FREELIST,`tests/test_shell.py` creates files repeatedly without panic; `tests/compiler-cases/buffer_freelist.c` documents the isolated pattern.,tests/compiler-cases/buffer_freelist.c,compiler_reduction,repository_independent_implementation,versioned_oracle_definition,,
E-BITMAP-O1-01,A-BITMAP-O1,Filesystem smoke tests pass; `tests/compiler-cases/bitmap_inline_asm.c` reproduces the contract violation.,tests/compiler-cases/bitmap_inline_asm.c,compiler_reduction,repository_independent_implementation,versioned_oracle_definition,,
E-VSPRINTF-O1-01,A-VSPRINTF-O1,BBP status strings and shell `printk` output contain valid text; `tests/compiler-cases/vsprintf_percent_s.c` documents the isolated pattern.,tests/compiler-cases/vsprintf_percent_s.c,compiler_reduction,repository_independent_implementation,versioned_oracle_definition,,
E-ATA-PIO-01,A-ATA-PIO,`tests/test_boot.py` reads partition table and mounts root.,tests/test_boot.py,test_source,production_integration,versioned_oracle_definition,,
E-COLORED-PRINTK-01,A-COLORED-PRINTK,"Boot log contains colored ""Partition table ok"" and ""sys_setup returning"".",,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-PIPE-HEAD-01,A-PIPE-HEAD,Pipe tests in shell smoke suite.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-MINIX-ROOTFS-01,A-MINIX-ROOTFS,`tests/test_boot.py` mounts root; shell tests access files.,tests/test_boot.py,test_source,production_integration,versioned_oracle_definition,,
E-IOCTL-VOLATILE-01,A-IOCTL-VOLATILE,Terminal configuration commands in shell smoke suite.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-MM-COMPAT-01,A-MM-COMPAT,Boot and fork/exec smoke tests.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-KERNEL-ASM-01,A-KERNEL-ASM,Kernel builds and boots.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-INCLUDE-COMPAT-01,A-INCLUDE-COMPAT,Full kernel and userland build.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-LIB-OPEN-01,A-LIB-OPEN,Userland C programs build and run.,,historical_statement,historical_interpretation,versioned_summary_without_raw_output,,
E-EXPERIENCE-ENV-01,A-EXPERIENCE-ENV,"`tests/test_experience.py` rejects mismatched images, boots the profiles, verifies their BBP command lines and real image files, and checks that bare `cd` returns to the selected HOME rather than the shell fallback.",tests/test_experience.py,test_source,self_report,versioned_oracle_definition,,
